publicid,eventtype,origintime,modificationtime,longitude,latitude,magnitude,depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2024p738645,earthquake,2024-09-30T07:10:22.793Z,2024-09-30T07:30:51.082Z,173.13369750976562,-43.91059875488281,2.4126452696771143,14.524235725402832,MLv,,LOCSAT,confirmed,manual,iasp91,16,11,9,0.16636021435260773,256.232572555542,0.2075690465363467,0.13655452265043388
2024p737980,earthquake,2024-09-30T01:16:01.668Z,2024-09-30T01:47:32.483Z,172.50917053222656,-43.59541702270508,2.0804580640795174,4.649175643920898,MLv,,LOCSAT,confirmed,manual,iasp91,27,22,7,0.05150988698005676,84.49114990234375,0.1765082934074315,0.30095210992956883
2024p737554,earthquake,2024-09-29T21:29:02.978Z,2024-09-29T21:38:00.144Z,173.5978240966797,-42.17174530029297,2.1176214732526737,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,26,16,8,0.16403785347938538,109.580078125,0.4546120615389502,0.16566951505938993
2024p736404,earthquake,2024-09-29T11:16:08.193Z,2024-10-04T01:45:47.594Z,172.90176391601562,-42.37976837158203,2.692883222039613,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,36,25,13,0.15278097987174988,53.08818054199219,0.35984860095103316,0.12391567755423723
2024p735741,earthquake,2024-09-29T05:23:00.569Z,2024-09-29T07:22:30.928Z,173.5837860107422,-42.17385482788086,2.3179712672026307,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,25,17,5,0.17467813193798065,107.37652587890625,0.4542983048634647,0
2024p735731,earthquake,2024-09-29T05:17:55.934Z,2024-09-29T07:04:43.341Z,169.95907592773438,-44.415164947509766,1.8132031130564246,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,16,11,2,0.1642192304134369,100.29513931274414,0.55448893786372,0.3264329618163023
2024p734355,earthquake,2024-09-28T17:04:45.042Z,2024-09-28T17:33:01.272Z,172.87918090820312,-42.66223907470703,2.160963422948375,6.235507488250732,MLv,,LOCSAT,confirmed,manual,iasp91,25,17,7,0.06998474895954132,61.79110717773438,0.37901506242767574,0.1133140318159207
2024p734183,earthquake,2024-09-28T15:33:03.737Z,2024-10-02T23:44:35.912Z,172.84130859375,-43.19929504394531,2.849851149085585,27.594602584838867,MLv,,LOCSAT,confirmed,manual,iasp91,34,23,15,0.09227414429187775,123.53718948364258,0.6765159116530736,0.16710861505060529
2024p730872,earthquake,2024-09-27T10:08:50.674Z,2024-09-27T13:06:02.882Z,172.08555603027344,-43.43085479736328,1.845443182626333,4.208212375640869,MLv,,LOCSAT,confirmed,manual,iasp91,31,21,4,0.05894212797284126,54.75904846191406,0.4575926455856048,0.10223143627315681
2024p726543,earthquake,2024-09-25T19:42:33.900Z,2024-09-26T00:06:41.482Z,171.85218811035156,-43.58939743041992,1.9507699091149888,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,21,15,4,0.13185587525367737,55.29660034179688,0.4540157104951329,0.3393432466333031
